,a,ai,ao,an,ang,e,ei,er,en,eng,i,iu,ie,in,ing,ia,ian,iao,iang,iong,o,ou,ong,u,ui,un,ua,uo,uan,uai,uang,ü,üe,ün,üan
,啊 a,哀 ai,熬 ao,安 an,肮 ang,鹅 e,诶 ei,儿 er,恩 en,鞥 eng,,,,,,,,,,,哦 o,欧 ou,,,,,,,,,,,,,
b,八 ba,白 bai,包 bao,班 ban,帮 bang,,杯 bei,,奔 ben,崩 beng,逼 bi,,别 bie,宾 bin,兵 bing,,边 bian,标 biao,,,玻 bo,,,不 bu,,,,,,,,,,,
c,擦 ca,猜 cai,操 cao,餐 can,仓 cang,策 ce,,,岑 cen,层 ceng,词 ci,,,,,,,,,,,凑 cou,聪 cong,粗 cu,崔 cui,村 cun,,搓 cuo,撺 cuan,,,,,,
d,搭 da,呆 dai,刀 dao,丹 dan,当 dang,德 de,得 dei,,扽 den,登 deng,低 di,丢 diu,爹 die,,丁 ding,嗲 dia,颠 dian,刁 diao,,,,兜 dou,东 dong,都 du,堆 dui,吨 dun,,多 duo,端 duan,,,,,,
f,发 fa,,,帆 fan,方 fang,,非 fei,,分 fen,风 feng,,,,,,,,,,,佛 fo,否 fou,,夫 fu,,,,,,,,,,,
g,嘎 ga,该 gai,高 gao,干 gan,钢 gang,哥 ge,给 gei,,根 gen,耕 geng,,,,,,,,,,,,沟 gou,工 gong,姑 gu,归 gui,棍 gun,瓜 gua,锅 guo,关 guan,乖 guai,光 guang,,,,
h,哈 ha,孩 hai,蒿 hao,含 han,杭 hang,喝 he,黑 hei,,痕 hen,恒 heng,,,,,,,,,,,,喉 hou,烘 hong,呼 hu,灰 hui,昏 hun,花 hua,活 huo,欢 huan,怀 huai,荒 huang,,,,
j,,,,,,,,,,,机 ji,究 jiu,阶 jie,今 jin,京 jing,加 jia,尖 jian,交 jiao,江 jiang,迥 jiong,,,,居 ju,,军 jun,,,捐 juan,,,,,,
k,咖 ka,开 kai,考 kao,刊 kan,康 kang,科 ke,剋 kei,,肯 ken,坑 keng,,,,,,,,,,,,抠 kou,空 kong,枯 ku,亏 kui,昆 kun,夸 kua,阔 kuo,宽 kuan,快 kuai,筐 kuang,,,,
l,拉 la,来 lai,捞 lao,兰 lan,狼 lang,勒 le,类 lei,,,冷 leng,里 li,留 liu,列 lie,林 lin,玲 ling,俩 lia,连 lian,疗 liao,良 liang,,咯 lo,搂 lou,龙 long,卢 lu,,抡 lun,,罗 luo,乱 luan,,,吕 lü,略 lüe,,
m,妈 ma,埋 mai,猫 mao,蛮 man,忙 mang,么 me,眉 mei,,门 men,蒙 meng,迷 mi,谬 miu,灭 mie,民 min,明 ming,,面 mian,苗 miao,,,摸 mo,谋 mou,,木 mu,,,,,,,,,,,
n,那 na,乃 nai,闹 nao,男 nan,囊 nang,讷 ne,内 nei,,嫩 nen,能 neng,泥 ni,牛 niu,捏 nie,您 nin,宁 ning,,年 nian,鸟 niao,娘 niang,,,耨 nou,农 nong,奴 nu,,,,挪 nuo,暖 nuan,,,女 nü,虐 nüe,,
p,怕 pa,拍 pai,抛 pao,潘 pan,旁 pang,,胚 pei,,喷 pen,烹 peng,批 pi,,撇 pie,拼 pin,乒 ping,,偏 pian,飘 piao,,,坡 po,剖 pou,,扑 pu,,,,,,,,,,,
q,,,,,,,,,,,七 qi,秋 qiu,切 qie,亲 qin,青 qing,恰 qia,千 qian,敲 qiao,枪 qiang,穷 qiong,,,,区 qu,,群 qun,,,圈 quan,,,,,,
r,,,饶 rao,然 ran,嚷 rang,热 re,,,人 ren,扔 reng,日 ri,,,,,,,,,,,柔 rou,容 rong,如 ru,锐 rui,润 run,挼 rua,弱 ruo,软 ruan,,,,,,
sh,杀 sha,筛 shai,烧 shao,山 shan,商 shang,奢 she,谁 shei,,深 shen,升 sheng,诗 shi,,,,,,,,,,,收 shou,,书 shu,水 shui,顺 shun,刷 shua,说 shuo,闩 shuan,衰 shuai,双 shuang,,,,
sh,杀 sha,筛 shai,烧 shao,山 shan,商 shang,奢 she,谁 shei,,深 shen,升 sheng,诗 shi,,,,,,,,,,,收 shou,,书 shu,水 shui,顺 shun,刷 shua,说 shuo,闩 shuan,衰 shuai,双 shuang,,,,
s,撒 sa,赛 sai,搔 sao,三 san,桑 sang,涩 se,,,森 sen,僧 seng,思 si,,,,,,,,,,,搜 sou,松 song,苏 su,虽 sui,孙 sun,,梭 suo,酸 suan,,,,,,
t,他 ta,胎 tai,涛 tao,贪 tan,汤 tang,特 te,,,,疼 teng,梯 ti,,贴 tie,,听 ting,,天 tian,挑 tiao,,,,偷 tou,通 tong,突 tu,推 tui,吞 tun,,拖 tuo,团 tuan,,,,,,
w,挖 wa,歪 wai,,弯 wan,汪 wang,,危 wei,,温 wen,翁 weng,,,,,,,,,,,窝 wo,,,污 wu,,,,,,,,,,,
x,,,,,,,,,,,西 xi,休 xiu,些 xie,心 xin,星 xing,虾 xia,先 xian,消 xiao,香 xiang,兄 xiong,,,,需 xu,,勋 xun,,,宣 xuan,,,,,,
y,呀 ya,,腰 yao,烟 yan,央 yang,爷 ye,,,,,一 yi,,,音 yin,英 ying,,,,,,唷 yo,优 you,拥 yong,于 yu,,云 yun,,,渊 yuan,,,,,,
zh,扎 zha,摘 zhai,招 zhao,沾 zhan,章 zhang,遮 zhe,这 zhei,,针 zhen,征 zheng,之 zhi,,,,,,,,,,,州 zhou,忠 zhong,朱 zhu,追 zhui,准 zhun,抓 zhua,捉 zhuo,专 zhuan,拽 zhuai,庄 zhuang,,,,
z,匝 za,栽 zai,遭 zao,赞 zan,脏 zang,则 ze,贼 zei,,怎 zen,增 zeng,资 zi,,,,,,,,,,,邹 zou,宗 zong,租 zu,最 zui,尊 zun,,作 zuo,钻 zuan,,,,,,