,,b,c,d,f,g,h,j,k,l,m,n,p,q,r,sh,sh,s,t,w,x,y,zh,z
a,啊 a,八 ba,擦 ca,搭 da,发 fa,嘎 ga,哈 ha,,咖 ka,拉 la,妈 ma,那 na,怕 pa,,,杀 sha,杀 sha,撒 sa,他 ta,挖 wa,,呀 ya,扎 zha,匝 za
ai,哀 ai,白 bai,猜 cai,呆 dai,,该 gai,孩 hai,,开 kai,来 lai,埋 mai,乃 nai,拍 pai,,,筛 shai,筛 shai,赛 sai,胎 tai,歪 wai,,,摘 zhai,栽 zai
ao,熬 ao,包 bao,操 cao,刀 dao,,高 gao,蒿 hao,,考 kao,捞 lao,猫 mao,闹 nao,抛 pao,,饶 rao,烧 shao,烧 shao,搔 sao,涛 tao,,,腰 yao,招 zhao,遭 zao
an,安 an,班 ban,餐 can,丹 dan,帆 fan,干 gan,含 han,,刊 kan,兰 lan,蛮 man,男 nan,潘 pan,,然 ran,山 shan,山 shan,三 san,贪 tan,弯 wan,,烟 yan,沾 zhan,赞 zan
ang,肮 ang,帮 bang,仓 cang,当 dang,方 fang,钢 gang,杭 hang,,康 kang,狼 lang,忙 mang,囊 nang,旁 pang,,嚷 rang,商 shang,商 shang,桑 sang,汤 tang,汪 wang,,央 yang,章 zhang,脏 zang
e,鹅 e,,策 ce,德 de,,哥 ge,喝 he,,科 ke,勒 le,么 me,讷 ne,,,热 re,奢 she,奢 she,涩 se,特 te,,,爷 ye,遮 zhe,则 ze
ei,诶 ei,杯 bei,,得 dei,非 fei,给 gei,黑 hei,,剋 kei,类 lei,眉 mei,内 nei,胚 pei,,,谁 shei,谁 shei,,,危 wei,,,这 zhei,贼 zei
er,儿 er,,,,,,,,,,,,,,,,,,,,,,,
en,恩 en,奔 ben,岑 cen,扽 den,分 fen,根 gen,痕 hen,,肯 ken,,门 men,嫩 nen,喷 pen,,人 ren,深 shen,深 shen,森 sen,,温 wen,,,针 zhen,怎 zen
eng,鞥 eng,崩 beng,层 ceng,登 deng,风 feng,耕 geng,恒 heng,,坑 keng,冷 leng,蒙 meng,能 neng,烹 peng,,扔 reng,升 sheng,升 sheng,僧 seng,疼 teng,翁 weng,,,征 zheng,增 zeng
i,,逼 bi,词 ci,低 di,,,,机 ji,,里 li,迷 mi,泥 ni,批 pi,七 qi,日 ri,诗 shi,诗 shi,思 si,梯 ti,,西 xi,一 yi,之 zhi,资 zi
iu,,,,丢 diu,,,,究 jiu,,留 liu,谬 miu,牛 niu,,秋 qiu,,,,,,,休 xiu,,,
ie,,别 bie,,爹 die,,,,阶 jie,,列 lie,灭 mie,捏 nie,撇 pie,切 qie,,,,,贴 tie,,些 xie,,,
in,,宾 bin,,,,,,今 jin,,林 lin,民 min,您 nin,拼 pin,亲 qin,,,,,,,心 xin,音 yin,,
ing,,兵 bing,,丁 ding,,,,京 jing,,玲 ling,明 ming,宁 ning,乒 ping,青 qing,,,,,听 ting,,星 xing,英 ying,,
ia,,,,嗲 dia,,,,加 jia,,俩 lia,,,,恰 qia,,,,,,,虾 xia,,,
ian,,边 bian,,颠 dian,,,,尖 jian,,连 lian,面 mian,年 nian,偏 pian,千 qian,,,,,天 tian,,先 xian,,,
iao,,标 biao,,刁 diao,,,,交 jiao,,疗 liao,苗 miao,鸟 niao,飘 piao,敲 qiao,,,,,挑 tiao,,消 xiao,,,
iang,,,,,,,,江 jiang,,良 liang,,娘 niang,,枪 qiang,,,,,,,香 xiang,,,
iong,,,,,,,,迥 jiong,,,,,,穷 qiong,,,,,,,兄 xiong,,,
o,哦 o,玻 bo,,,佛 fo,,,,,咯 lo,摸 mo,,坡 po,,,,,,,窝 wo,,唷 yo,,
ou,欧 ou,,凑 cou,兜 dou,否 fou,沟 gou,喉 hou,,抠 kou,搂 lou,谋 mou,耨 nou,剖 pou,,柔 rou,收 shou,收 shou,搜 sou,偷 tou,,,优 you,州 zhou,邹 zou
ong,,,聪 cong,东 dong,,工 gong,烘 hong,,空 kong,龙 long,,农 nong,,,容 rong,,,松 song,通 tong,,,拥 yong,忠 zhong,宗 zong
u,,不 bu,粗 cu,都 du,夫 fu,姑 gu,呼 hu,居 ju,枯 ku,卢 lu,木 mu,奴 nu,扑 pu,区 qu,如 ru,书 shu,书 shu,苏 su,突 tu,污 wu,需 xu,于 yu,朱 zhu,租 zu
ui,,,崔 cui,堆 dui,,归 gui,灰 hui,,亏 kui,,,,,,锐 rui,水 shui,水 shui,虽 sui,推 tui,,,,追 zhui,最 zui
un,,,村 cun,吨 dun,,棍 gun,昏 hun,军 jun,昆 kun,抡 lun,,,,群 qun,润 run,顺 shun,顺 shun,孙 sun,吞 tun,,勋 xun,云 yun,准 zhun,尊 zun
ua,,,,,,瓜 gua,花 hua,,夸 kua,,,,,,挼 rua,刷 shua,刷 shua,,,,,,抓 zhua,
uo,,,搓 cuo,多 duo,,锅 guo,活 huo,,阔 kuo,罗 luo,,挪 nuo,,,弱 ruo,说 shuo,说 shuo,梭 suo,拖 tuo,,,,捉 zhuo,作 zuo
uan,,,撺 cuan,端 duan,,关 guan,欢 huan,捐 juan,宽 kuan,乱 luan,,暖 nuan,,圈 quan,软 ruan,闩 shuan,闩 shuan,酸 suan,团 tuan,,宣 xuan,渊 yuan,专 zhuan,钻 zuan
uai,,,,,,乖 guai,怀 huai,,快 kuai,,,,,,,衰 shuai,衰 shuai,,,,,,拽 zhuai,
uang,,,,,,光 guang,荒 huang,,筐 kuang,,,,,,,双 shuang,双 shuang,,,,,,庄 zhuang,
ü,,,,,,,,,,吕 lü,,女 nü,,,,,,,,,,,,
üe,,,,,,,,,,略 lüe,,虐 nüe,,,,,,,,,,,,
ün,,,,,,,,,,,,,,,,,,,,,,,,
üan,,,,,,,,,,,,,,,,,,,,,,,,